item_code,eod_date,price_open,price_high,price_low,count_trade,price_close
5930,2016-03-22,25480,25580,25160,9058500,25340
5930,2016-03-21,25560,25560,25260,11265700,25460
5930,2016-03-18,25300,25920,25140,12343450,25260
5930,2016-03-17,25120,25260,25060,7342800,25120
5930,2016-03-16,25100,25280,24920,8640400,25060
5930,2016-03-15,25340,25460,24980,10857700,25100
5930,2016-03-14,24500,25060,24320,13361250,24980
5930,2016-03-11,24160,24720,24020,14177000,24500
5930,2016-03-10,23760,23980,23540,9169000,23880
5930,2016-03-09,24460,24480,23720,10810100,23840
5930,2016-03-08,24400,24620,24300,6568800,24460
5930,2016-03-07,24400,24560,24040,10074500,24300
5930,2016-03-04,24260,24400,24040,10949550,24400
5930,2016-03-03,24000,24140,23920,11818600,23940
5930,2016-03-02,23580,23880,23520,14434000,23560
5930,2016-02-29,23600,23740,23440,8867200,23440
5930,2016-02-26,23440,23740,23440,6681750,23580
5930,2016-02-25,23560,23580,23220,7024200,23440
5930,2016-02-24,23580,23780,23460,7383700,23620
5930,2016-02-23,23800,23840,23320,8744950,23500
5930,2016-02-22,23740,23900,23480,8842600,23800
5930,2016-02-19,24060,24060,23560,11124050,23740
5930,2016-02-18,23580,24020,23380,12303100,23700
5930,2016-02-17,23160,23580,23140,9020050,23360
5930,2016-02-16,23080,23200,22880,9157300,23080
5930,2016-02-15,22600,23020,22440,12811600,22600
5930,2016-02-12,22360,22740,22360,15263100,22600
5930,2016-02-11,23120,23380,23120,9404700,23280
5930,2016-02-05,23000,23220,22960,12397950,23120
5930,2016-02-04,23000,23040,22740,8725350,22920
5930,2016-02-03,23220,23320,22940,8317400,23120
5930,2016-02-02,23040,23260,23020,12998950,23260
5930,2016-02-01,22800,23000,22320,21849150,23000
5930,2016-01-29,23280,23360,22780,15795600,22900
5930,2016-01-28,22520,23500,22520,13811850,23500
5930,2016-01-27,23100,23140,22720,7619950,22740
5930,2016-01-26,23440,23520,23120,7995650,23240
5930,2016-01-25,22900,23360,22900,7376400,23360
5930,2016-01-22,22660,23100,22500,9517600,22620
5930,2016-01-21,23200,23200,22640,8352600,22760
5930,2016-01-20,22560,23420,22560,10362100,23420
5930,2016-01-19,21760,22660,21760,16010700,22520
5930,2016-01-18,22800,23040,22480,10473200,22640
5930,2016-01-15,22620,22840,22620,10451100,22760
5930,2016-01-14,23060,23180,22960,7165800,22960
